lat,lon,ele,ele2,course,roll,pitch,mode,time_epoch,time_utc
43.2728596,-76.9757617,76.59,0,0,0,0,Loiter,1500047216.0,2017-07-14 15:46:56+00:00
43.2728596,-76.9757617,80.26,5.74,0,0,0,Loiter,1500047216.0,2017-07-14 15:46:56+00:00
43.2728597,-76.9757618,80.33,5.81,88.14286,1.092951,-1.226343,Loiter,1500047217.0,2017-07-14 15:46:57+00:00
43.2728598,-76.9757618,80.4,5.88,88.08031,1.059277,-1.237644,Loiter,1500047217.0,2017-07-14 15:46:57+00:00
43.2728599,-76.9757618,80.47,5.95,88.00814,1.042211,-1.256657,Loiter,1500047217.0,2017-07-14 15:46:57+00:00
43.27286,-76.9757619,80.53,6.01,87.94409,1.037146,-1.260144,Loiter,1500047217.0,2017-07-14 15:46:57+00:00
43.2728601,-76.9757619,80.59,6.07,87.88124,1.02672,-1.25362,Loiter,1500047217.0,2017-07-14 15:46:57+00:00
43.2728602,-76.9757619,80.64,6.12,87.82088,1.013847,-1.247288,Loiter,1500047218.0,2017-07-14 15:46:58+00:00
43.2728603,-76.9757619,80.69,6.17,87.75622,1.007092,-1.248763,Loiter,1500047218.0,2017-07-14 15:46:58+00:00
43.2728604,-76.9757619,80.76,6.24,87.70364,0.9863314,-1.233829,Loiter,1500047218.0,2017-07-14 15:46:58+00:00
43.2728605,-76.975762,80.81,6.29,87.62649,0.972604,-1.236512,Loiter,1500047218.0,2017-07-14 15:46:58+00:00
43.2728606,-76.9757621,80.92,6.4,87.50006,0.9628981,-1.201033,Loiter,1500047219.0,2017-07-14 15:46:59+00:00
43.2728607,-76.9757622,80.97,6.45,87.43246,0.9590713,-1.195151,Loiter,1500047219.0,2017-07-14 15:46:59+00:00
43.2728607,-76.9757623,81.01,6.49,87.36534,0.9552686,-1.180893,Loiter,1500047219.0,2017-07-14 15:46:59+00:00
43.2728607,-76.9757624,81.1,6.58,87.23073,0.9370164,-1.164433,Loiter,1500047219.0,2017-07-14 15:46:59+00:00
43.2728608,-76.9757625,81.16,6.64,87.16685,0.9343662,-1.162661,Loiter,1500047220.0,2017-07-14 15:47:00+00:00
43.2728608,-76.9757626,81.2,6.68,87.10801,0.933838,-1.161928,Loiter,1500047220.0,2017-07-14 15:47:00+00:00
43.2728608,-76.9757627,81.25,6.73,87.04912,0.9339717,-1.143823,Loiter,1500047220.0,2017-07-14 15:47:00+00:00
43.2728608,-76.9757628,81.27,6.75,86.99204,0.9327168,-1.129259,Loiter,1500047220.0,2017-07-14 15:47:00+00:00
43.2728609,-76.9757631,81.29,6.77,86.92622,0.9321223,-1.118741,Loiter,1500047220.0,2017-07-14 15:47:00+00:00
43.2728609,-76.9757633,81.32,6.8,86.86799,0.9352823,-1.114599,Loiter,1500047221.0,2017-07-14 15:47:01+00:00
43.2728609,-76.9757635,81.34,6.82,86.8091,0.9438171,-1.120013,Loiter,1500047221.0,2017-07-14 15:47:01+00:00
43.2728609,-76.9757636,81.36,6.84,86.74971,0.9461831,-1.128006,Loiter,1500047221.0,2017-07-14 15:47:01+00:00
43.272861,-76.9757638,81.38,6.86,86.69048,0.9542515,-1.118106,Loiter,1500047221.0,2017-07-14 15:47:01+00:00
43.272861,-76.975764,81.4,6.88,86.62706,0.9574254,-1.115678,Loiter,1500047221.0,2017-07-14 15:47:01+00:00
43.272861,-76.9757641,81.41,6.89,86.56725,0.9501705,-1.099098,Loiter,1500047222.0,2017-07-14 15:47:02+00:00
43.2728611,-76.9757642,81.43,6.91,86.50448,0.9541088,-1.088624,Loiter,1500047222.0,2017-07-14 15:47:02+00:00
43.2728611,-76.9757644,81.44,6.92,86.44593,0.9502016,-1.085141,Loiter,1500047222.0,2017-07-14 15:47:02+00:00
43.2728611,-76.9757645,81.44,6.92,86.39829,0.957747,-1.07547,Loiter,1500047222.0,2017-07-14 15:47:02+00:00
43.2728612,-76.9757647,81.45,6.93,86.3326,0.9658393,-1.062031,Loiter,1500047222.0,2017-07-14 15:47:02+00:00
43.2728612,-76.9757649,81.44,6.92,86.27499,0.9776295,-1.04814,Loiter,1500047223.0,2017-07-14 15:47:03+00:00
43.2728612,-76.975765,81.44,6.92,86.22399,0.9844027,-1.052102,Loiter,1500047223.0,2017-07-14 15:47:03+00:00
43.2728613,-76.975765,81.44,6.92,86.16824,0.9887565,-1.04347,Loiter,1500047223.0,2017-07-14 15:47:03+00:00
43.2728612,-76.9757652,81.42,6.9,86.11864,0.9872366,-1.040571,Loiter,1500047223.0,2017-07-14 15:47:03+00:00
43.2728613,-76.9757654,81.42,6.9,86.06558,0.989536,-1.033205,Loiter,1500047223.0,2017-07-14 15:47:03+00:00
43.2728613,-76.9757656,81.42,6.9,86.00883,0.9941244,-1.033943,Loiter,1500047224.0,2017-07-14 15:47:04+00:00
43.2728613,-76.9757658,81.42,6.9,85.95082,0.995461,-1.024473,Loiter,1500047224.0,2017-07-14 15:47:04+00:00
43.2728613,-76.9757659,81.41,6.89,85.90871,1.000826,-1.024412,Loiter,1500047224.0,2017-07-14 15:47:04+00:00
43.2728614,-76.9757661,81.41,6.89,85.86422,1.005516,-1.01012,Loiter,1500047224.0,2017-07-14 15:47:04+00:00
43.2728613,-76.9757662,81.41,6.89,85.81165,1.0096,-1.003124,Loiter,1500047224.0,2017-07-14 15:47:04+00:00
43.2728614,-76.9757664,81.39,6.87,85.76813,1.012822,-0.995334,Loiter,1500047225.0,2017-07-14 15:47:05+00:00
43.2728614,-76.9757665,81.37,6.85,85.71897,1.012949,-0.9992605,Loiter,1500047225.0,2017-07-14 15:47:05+00:00
43.2728615,-76.9757666,81.36,6.84,85.66582,1.026481,-0.9925726,Loiter,1500047225.0,2017-07-14 15:47:05+00:00
43.2728615,-76.9757667,81.35,6.83,85.615,1.035401,-0.9758402,Loiter,1500047225.0,2017-07-14 15:47:05+00:00
43.2728616,-76.9757668,81.33,6.81,85.57069,1.035223,-0.9735058,Loiter,1500047225.0,2017-07-14 15:47:05+00:00
43.2728616,-76.9757669,81.32,6.8,85.52521,1.037004,-0.9726056,Loiter,1500047226.0,2017-07-14 15:47:06+00:00
43.2728616,-76.975767,81.29,6.77,85.47272,1.043124,-0.9725676,Loiter,1500047226.0,2017-07-14 15:47:06+00:00
43.2728617,-76.9757671,81.28,6.76,85.41965,1.037925,-0.9692078,Loiter,1500047226.0,2017-07-14 15:47:06+00:00
43.2728617,-76.9757672,81.25,6.73,85.3679,1.04382,-0.9673923,Loiter,1500047226.0,2017-07-14 15:47:06+00:00
43.2728618,-76.9757673,81.23,6.71,85.3187,1.0408,-0.9599949,Loiter,1500047226.0,2017-07-14 15:47:06+00:00
43.2728619,-76.9757675,81.22,6.7,85.26303,1.042022,-0.9668987,Loiter,1500047227.0,2017-07-14 15:47:07+00:00
43.2728619,-76.9757674,81.2,6.68,85.2077,1.041486,-0.9789143,Loiter,1500047227.0,2017-07-14 15:47:07+00:00
43.2728618,-76.9757672,81.18,6.66,85.16222,1.021595,-0.9919528,Loiter,1500047227.0,2017-07-14 15:47:07+00:00
43.2728619,-76.9757672,81.18,6.66,85.11384,1.001911,-1.006555,Loiter,1500047227.0,2017-07-14 15:47:07+00:00
43.2728619,-76.9757671,81.16,6.64,85.06553,0.9761696,-1.02747,Loiter,1500047227.0,2017-07-14 15:47:07+00:00
43.2728619,-76.975767,81.15,6.63,85.01057,0.9575142,-1.047492,Loiter,1500047228.0,2017-07-14 15:47:08+00:00
43.2728619,-76.9757669,81.11,6.59,84.91029,0.9208025,-1.068135,Loiter,1500047228.0,2017-07-14 15:47:08+00:00
43.2728619,-76.9757668,81.09,6.57,84.85523,0.9062784,-1.07379,Loiter,1500047228.0,2017-07-14 15:47:08+00:00
43.2728619,-76.9757667,81.07,6.55,84.75237,0.8686844,-1.087653,Loiter,1500047229.0,2017-07-14 15:47:09+00:00
43.272862,-76.9757667,81.05,6.53,84.65985,0.8686872,-1.084056,Loiter,1500047229.0,2017-07-14 15:47:09+00:00
43.272862,-76.9757666,81.03,6.51,84.618,0.8766989,-1.081621,Loiter,1500047229.0,2017-07-14 15:47:09+00:00
43.2728622,-76.9757666,81.02,6.5,84.5705,0.879464,-1.076468,Loiter,1500047229.0,2017-07-14 15:47:09+00:00
43.2728621,-76.9757664,81,6.48,84.521,0.8789487,-1.059958,Loiter,1500047230.0,2017-07-14 15:47:10+00:00
43.2728622,-76.9757664,80.99,6.47,84.47873,0.884502,-1.062519,Loiter,1500047230.0,2017-07-14 15:47:10+00:00
43.2728623,-76.9757664,80.98,6.46,84.4372,0.900004,-1.054992,Loiter,1500047230.0,2017-07-14 15:47:10+00:00
43.2728622,-76.9757664,80.97,6.45,84.38379,0.9032423,-1.043149,Loiter,1500047230.0,2017-07-14 15:47:10+00:00
43.2728622,-76.9757662,80.95,6.43,84.33089,0.9245301,-1.040966,Loiter,1500047230.0,2017-07-14 15:47:10+00:00
43.2728623,-76.9757662,80.95,6.43,84.2769,0.9351777,-1.029315,Loiter,1500047231.0,2017-07-14 15:47:11+00:00
43.2728623,-76.9757663,80.94,6.42,84.2279,0.9437076,-1.027439,Loiter,1500047231.0,2017-07-14 15:47:11+00:00
43.2728623,-76.9757662,80.93,6.41,84.17952,0.9524961,-1.026439,Loiter,1500047231.0,2017-07-14 15:47:11+00:00
43.2728623,-76.975766,80.93,6.41,84.1344,0.954601,-1.018153,Loiter,1500047231.0,2017-07-14 15:47:11+00:00
43.2728621,-76.975766,80.93,6.41,84.08151,0.9703246,-1.010551,Loiter,1500047231.0,2017-07-14 15:47:11+00:00
43.272862,-76.9757657,80.92,6.4,84.03246,0.9732617,-1.016315,Loiter,1500047232.0,2017-07-14 15:47:12+00:00
43.2728617,-76.9757653,80.92,6.4,83.94003,0.9895188,-1.021285,Loiter,1500047232.0,2017-07-14 15:47:12+00:00
43.2728619,-76.9757653,80.93,6.41,83.88653,1.001263,-1.012591,Loiter,1500047232.0,2017-07-14 15:47:12+00:00
43.2728618,-76.9757653,80.93,6.41,83.83509,1.006659,-1.001815,Loiter,1500047232.0,2017-07-14 15:47:12+00:00
43.2728619,-76.9757651,80.93,6.41,83.79015,1.008103,-1.002564,Loiter,1500047233.0,2017-07-14 15:47:13+00:00
43.272862,-76.975765,80.92,6.4,83.75088,1.018093,-1.000833,Loiter,1500047233.0,2017-07-14 15:47:13+00:00
43.2728621,-76.9757651,80.93,6.41,83.68146,1.041617,-0.9910883,Loiter,1500047233.0,2017-07-14 15:47:13+00:00
43.2728623,-76.9757651,80.93,6.41,83.63718,1.033556,-1.028427,Loiter,1500047233.0,2017-07-14 15:47:13+00:00
